REGION,Grupos de edad,2020,2021,2022,2023
Bolívar,90-94,6132,6176,6229,6298
Bolívar,95-99,2792,2803,2835,2870
Bolívar,85-99,20238,20558,20952,21429
Bolívar,100-120,1511,1407,1311,1241
Boyacá,Todas,1242731,1251675,1259601,1267378
Boyacá,01-04,92449,92144,91499,90626
Boyacá,05-09,95970,96078,96113,96185
Boyacá,10-14,98733,98611,98484,98418
Boyacá,05-14,194703,194689,194597,194603
Boyacá,15-19,99315,98631,98020,97554
Boyacá,20-24,95443,95207,94633,93913
Boyacá,25-29,88587,89722,90442,90743
Boyacá,30-34,84114,84524,85220,86265
Boyacá,35-39,84816,85090,85127,85205
Boyacá,40-44,81460,82541,83549,84410
Boyacá,15-44,533735,535715,536991,538090
Boyacá,45-49,76135,76640,77375,78315
Boyacá,50-54,73122,73471,73664,73775
Boyacá,55-59,67718,68482,69140,69711
Boyacá,60-64,58865,60180,61456,62658
Boyacá,45-64,275840,278773,281635,284459
Boyacá,65-69,47850,49343,50813,52291
Boyacá,70-74,36084,37413,38778,40120
Boyacá,75-79,25532,26329,27214,28206
Boyacá,80-84,17027,17451,17945,18492
Boyacá,65-84,126493,130536,134750,139109
Boyacá,85-89,10543,10706,10863,11084
Boyacá,90-94,5907,5874,5878,5919
Boyacá,95-99,2609,2732,2834,2890
Boyacá,85-99,19059,19312,19575,19893
Boyacá,100-120,452,506,554,598
Caldas,Todas,1018453,1027314,1036455,1046418
Caldas,01-04,64815,64897,64831,64591
Caldas,05-09,65170,65776,66441,67209
Caldas,10-14,67762,67491,67432,67599
Caldas,05-14,132932,133267,133873,134808
Caldas,15-19,73975,72985,72090,71402
Caldas,20-24,77625,76845,76000,75187
Caldas,25-29,76957,77074,76950,76721
Caldas,30-34,71389,72674,73978,75197
Caldas,35-39,70347,70365,70483,71011
Caldas,40-44,65696,67558,69280,70645
Caldas,15-44,435989,437501,438781,440163
Caldas,45-49,63209,62740,62839,63608
Caldas,50-54,66160,65639,65012,64333
Caldas,55-59,64930,65369,65632,65749
Caldas,60-64,58379,59577,60723,61813
Caldas,45-64,252678,253325,254206,255503
Caldas,65-69,46913,48991,50955,52789
