Dpto,Género,2018,2019,2020,2021,2022,2023
Valle del Cauca,AMBOS SEXOS,4.475.886,4.506.768,4.532.152,4.556.752,4.589.278,4.622.132
Valle del Cauca,HOMBRES,2.126.546,2.138.822,2.148.418,2.152.553,2.155.970,2.160.265
Valle del Cauca,MUJERES,2.349.340,2.367.946,2.383.734,2.404.199,2.433.308,2.461.867
Arauca,AMBOS SEXOS,262.174,280.109,294.206,301.270,304.978,308.301
Arauca,HOMBRES,132.519,140.985,147.612,150.856,152.501,153.974
Arauca,MUJERES,129.655,139.124,146.594,150.414,152.477,154.327
Casanare,AMBOS SEXOS,420.504,428.563,435.195,439.238,442.068,444.602
Casanare,HOMBRES,212.548,216.213,219.218,221.013,222.255,223.369
Casanare,MUJERES,207.956,212.350,215.977,218.225,219.813,221.233
Putumayo,AMBOS SEXOS,348.182,353.759,359.127,364.085,369.064,374.042
Putumayo,HOMBRES,175.691,178.203,180.613,182.696,184.691,186.713
Putumayo,MUJERES,172.491,175.556,178.514,181.389,184.373,187.329
Archipiélago de San Andrés,AMBOS SEXOS,61.280,62.482,63.692,64.672,65.228,65.663
Archipiélago de San Andrés,HOMBRES,29.595,30.166,30.738,31.194,31.437,31.619
Archipiélago de San Andrés,MUJERES,31.685,32.316,32.954,33.478,33.791,34.044
Amazonas,AMBOS SEXOS,76.589,77.753,79.020,80.464,82.068,83.808
Amazonas,HOMBRES,39.911,40.444,41.035,41.691,42.406,43.198
Amazonas,MUJERES,36.678,37.309,37.985,38.773,39.662,40.610
Guainía,AMBOS SEXOS,48.114,49.473,50.636,51.450,52.061,52.627
Guainía,HOMBRES,25.138,25.771,26.309,26.674,26.940,27.185
Guainía,MUJERES,22.976,23.702,24.327,24.776,25.121,25.442
Guaviare,AMBOS SEXOS,82.767,84.716,86.657,88.490,90.357,92.281
Guaviare,HOMBRES,44.260,45.047,45.845,46.605,47.393,48.220
Guaviare,MUJERES,38.507,39.669,40.812,41.885,42.964,44.061
Vaupés,AMBOS SEXOS,40.797,42.721,44.712,46.808,48.932,51.133
Vaupés,HOMBRES,21.425,22.395,23.398,24.453,25.520,26.625
Vaupés,MUJERES,19.372,20.326,21.314,22.355,23.412,24.508
Vichada,AMBOS SEXOS,107.808,110.599,112.958,114.557,115.778,116.944
Vichada,HOMBRES,57.242,58.514,59.588,60.312,60.862,61.389
Vichada,MUJERES,50.566,52.085,53.370,54.245,54.916,55.555
